outputFileName,hero,city,header
FAIR-EN-01,aurora-borealis-sq.jpg,"Fairbanks, Alaska",SAY YES\nTO ANYWHERE.
PUNT-EN-01,caribbean-beach-resort-sunset-sq.jpg,"Punta Cana, Dominican Republic",SAY YES\nTO ANYWHERE.
HONO-EN-01,koolau-mountains-hawaii-sq.jpg,"Honolulu, Hawaii",SAY YES\nTO ANYWHERE.
ZERM-EN-01,matterhorn-switzerland-sq.jpg,"Zermatt, Switzerland",SAY YES\nTO ANYWHERE.
HANA-EN-01,napali-coast-cliffs-aerial-sq.jpg,"Hanalei, Hawaii",SAY YES\nTO ANYWHERE.
KAUA-EN-01,napali-coast-kauai-emerald-sq.jpg,"Kauai, Hawaii",SAY YES\nTO ANYWHERE.
SANT-EN-01,santorini-caldera-greece-sq.jpg,"Santorini, Greece",SAY YES\nTO ANYWHERE.
TOKY1-EN-01,tokyo-cityscape-night-panoramic-sq.jpg,"Tokyo, Japan",SAY YES\nTO ANYWHERE.
TOKY2-EN-01,tokyo-tower-night-skyline.jpg,"Tokyo, Japan",SAY YES\nTO ANYWHERE.
BORA-EN-01,tropical-coastline-aerial-turquoise-sq.jpg,"Bora Bora, French Polynesia",SAY YES\nTO ANYWHERE.
FAIR-ES-01,aurora-borealis-sq.jpg,"Fairbanks, Alaska",DI QUE SÍ\nA DONDE SEA.
PUNT-ES-01,caribbean-beach-resort-sunset-sq.jpg,"Punta Cana, República Dominicana",DI QUE SÍ\nA DONDE SEA.
HONO-ES-01,koolau-mountains-hawaii-sq.jpg,"Honolulú, Hawái",DI QUE SÍ\nA DONDE SEA.
ZERM-ES-01,matterhorn-switzerland-sq.jpg,"Zermatt, Suiza",DI QUE SÍ\nA DONDE SEA.
HANA-ES-01,napali-coast-cliffs-aerial-sq.jpg,"Hanalei, Hawái",DI QUE SÍ\nA DONDE SEA.
KAUA-ES-01,napali-coast-kauai-emerald-sq.jpg,"Kauai, Hawái",DI QUE SÍ\nA DONDE SEA.
SANT-ES-01,santorini-caldera-greece-sq.jpg,"Santorini, Grecia",DI QUE SÍ\nA DONDE SEA.
TOKY1-ES-01,tokyo-cityscape-night-panoramic-sq.jpg,"Tokio, Japón",DI QUE SÍ\nA DONDE SEA.
TOKY2-ES-01,tokyo-tower-night-skyline.jpg,"Tokio, Japón",DI QUE SÍ\nA DONDE SEA.
BORA-ES-01,tropical-coastline-aerial-turquoise-sq.jpg,"Bora Bora, Polinesia Francesa",DI QUE SÍ\nA DONDE SEA.
FAIR-EN-02,aurora-borealis-sq.jpg,"Fairbanks, Alaska",PACK LIGHT.\nDREAM BIG.\nGO FAR.
PUNT-EN-02,caribbean-beach-resort-sunset-sq.jpg,"Punta Cana, Dominican Republic",PACK LIGHT.\nDREAM BIG.\nGO FAR.
HONO-EN-02,koolau-mountains-hawaii-sq.jpg,"Honolulu, Hawaii",PACK LIGHT.\nDREAM BIG.\nGO FAR.
ZERM-EN-02,matterhorn-switzerland-sq.jpg,"Zermatt, Switzerland",PACK LIGHT.\nDREAM BIG.\nGO FAR.
HANA-EN-02,napali-coast-cliffs-aerial-sq.jpg,"Hanalei, Hawaii",PACK LIGHT.\nDREAM BIG.\nGO FAR.
KAUA-EN-02,napali-coast-kauai-emerald-sq.jpg,"Kauai, Hawaii",PACK LIGHT.\nDREAM BIG.\nGO FAR.
SANT-EN-02,santorini-caldera-greece-sq.jpg,"Santorini, Greece",PACK LIGHT.\nDREAM BIG.\nGO FAR.
TOKY1-EN-02,tokyo-cityscape-night-panoramic-sq.jpg,"Tokyo, Japan",PACK LIGHT.\nDREAM BIG.\nGO FAR.
TOKY2-EN-02,tokyo-tower-night-skyline.jpg,"Tokyo, Japan",PACK LIGHT.\nDREAM BIG.\nGO FAR.
BORA-EN-02,tropical-coastline-aerial-turquoise-sq.jpg,"Bora Bora, French Polynesia",PACK LIGHT.\nDREAM BIG.\nGO FAR.
